Time [ms], Thumb, Index, Middle, Ring, Little, force
0.000365, 1703, 1815, 2967, 2064, 2919, 0.296307, 
1.445926, 1704, 1815, 2967, 2064, 2919, 0.296307, 
1.529072, 1704, 1815, 2967, 2064, 2919, 0.296307, 
1.584866, 1704, 1815, 2967, 2064, 2919, 0.301466, 
1.637015, 1704, 1815, 2967, 2064, 2919, 0.301466, 
1.688069, 1704, 1815, 2967, 2064, 2919, 0.301466, 
1.740217, 1704, 1815, 2967, 2064, 2919, 0.302755, 
1.792365, 1704, 1815, 2967, 2064, 2919, 0.305334, 
1.843419, 1704, 1815, 2967, 2064, 2919, 0.309203, 
1.899579, 1704, 1815, 2967, 2064, 2919, 0.306624, 
1.951727, 1704, 1815, 2967, 2064, 2919, 0.310493, 
3.434120, 1704, 1815, 2967, 2064, 2919, 0.313072, 
3.513619, 1704, 1815, 2967, 2064, 2919, 0.311782, 
3.573425, 1704, 1815, 2967, 2064, 2919, 0.318230, 
3.628491, 1704, 1815, 2967, 2064, 2919, 0.318230, 
3.682098, 1704, 1815, 2967, 2064, 2919, 0.318230, 
3.741904, 1704, 1815, 2967, 2064, 2919, 0.320809, 
3.814838, 1704, 1815, 2967, 2064, 2919, 0.323388, 
3.888137, 1704, 1815, 2967, 2064, 2919, 0.324678, 
3.964719, 1704, 1815, 2967, 2064, 2919, 0.323388, 
4.689323, 1704, 1815, 2967, 2064, 2919, 0.324678, 
5.660081, 1704, 1815, 2967, 2064, 2919, 0.332415, 
6.222770, 1704, 1815, 2967, 2064, 2919, 0.325967, 
6.887933, 1704, 1815, 2967, 2064, 2919, 0.332415, 
7.516628, 1704, 1815, 2967, 2064, 2919, 0.331126, 
9.761187, 1704, 1815, 2967, 2064, 2919, 0.332415, 
10.463546, 1704, 1815, 2967, 2064, 2919, 0.331126, 
11.519637, 1704, 1815, 2967, 2064, 2919, 0.334994, 
12.132652, 1704, 1815, 2967, 2064, 2919, 0.332415, 
13.350293, 1704, 1815, 2967, 2064, 2919, 0.337574, 
15.997815, 1704, 1815, 2967, 2064, 2919, 0.336284, 
16.102476, 1704, 1815, 2967, 2064, 2919, 0.338863, 
16.769826, 1704, 1815, 2967, 2064, 2919, 0.338863, 
17.687707, 1704, 1815, 2967, 2064, 2919, 0.338863, 
18.290875, 1704, 1815, 2967, 2064, 2919, 0.340153, 
20.148881, 1704, 1815, 2967, 2064, 2919, 0.334994, 
21.432528, 1704, 1815, 2967, 2064, 2919, 0.342732, 
22.019651, 1704, 1815, 2967, 2064, 2919, 0.340153, 
22.680802, 1704, 1815, 2967, 2064, 2919, 0.337574, 
23.334295, 1704, 1815, 2967, 2064, 2919, 0.342732, 
24.024984, 1704, 1815, 2967, 2064, 2919, 0.340153, 
24.689782, 1704, 1815, 2967, 2064, 2919, 0.340153, 
25.300973, 1704, 1815, 2967, 2064, 2919, 0.345311, 
25.955196, 1704, 1815, 2967, 2064, 2919, 0.337574, 
26.577327, 1704, 1815, 2967, 2064, 2919, 0.345311, 
27.203469, 1704, 1815, 2967, 2064, 2919, 0.338863, 
27.931356, 1704, 1815, 2967, 2064, 2919, 0.344021, 
28.595789, 1704, 1815, 2967, 2064, 2919, 0.341442, 
31.137920, 1704, 1815, 2967, 2064, 2919, 0.345311, 
32.104302, 1704, 1815, 2967, 2064, 2919, 0.344021, 
32.712576, 1704, 1815, 2967, 2064, 2919, 0.341442, 
33.392690, 1704, 1815, 2967, 2064, 2919, 0.341442, 
34.018468, 1704, 1815, 2967, 2064, 2919, 0.340153, 
34.723380, 1704, 1815, 2967, 2064, 2919, 0.342732, 
35.424280, 1704, 1815, 2967, 2064, 2919, 0.336284, 
36.093819, 1704, 1815, 2967, 2064, 2919, 0.338863, 
36.769921, 1704, 1815, 2967, 2064, 2919, 0.338863, 
37.505830, 1704, 1815, 2967, 2064, 2919, 0.336284, 
38.280394, 1704, 1815, 2967, 2064, 2919, 0.334994, 
38.973272, 1704, 1815, 2967, 2064, 2919, 0.338863, 
39.087415, 1704, 1815, 2967, 2064, 2919, 0.332415, 
40.290834, 1704, 1815, 2966, 2064, 2920, 0.332415, 
41.012520, 1704, 1815, 2966, 2064, 2920, 0.334994, 
41.951916, 1704, 1815, 2966, 2064, 2920, 0.327257, 
42.497102, 1704, 1815, 2966, 2064, 2920, 0.332415, 
43.139290, 1704, 1815, 2966, 2064, 2920, 0.325967, 
43.740635, 1704, 1815, 2966, 2064, 2920, 0.327257, 
44.434971, 1704, 1815, 2966, 2064, 2920, 0.323388, 
45.088099, 1704, 1815, 2966, 2064, 2920, 0.325967, 
46.201444, 1704, 1815, 2966, 2064, 2920, 0.320809, 
46.830869, 1704, 1815, 2966, 2064, 2920, 0.319520, 
47.738903, 1704, 1815, 2966, 2064, 2920, 0.318230, 
48.446368, 1704, 1815, 2966, 2064, 2920, 0.318230, 
49.066676, 1704, 1815, 2966, 2064, 2920, 0.311782, 
50.827679, 1704, 1815, 2966, 2064, 2920, 0.316941, 
51.538061, 1704, 1815, 2966, 2064, 2920, 0.314361, 
52.556591, 1704, 1815, 2966, 2064, 2920, 0.310493, 
53.061297, 1704, 1815, 2966, 2064, 2920, 0.311782, 
53.788454, 1704, 1815, 2966, 2064, 2920, 0.310493, 
54.659292, 1704, 1815, 2966, 2064, 2920, 0.306624, 
55.203019, 1704, 1815, 2966, 2064, 2920, 0.306624, 
55.891155, 1705, 1815, 2967, 2064, 2919, 0.300176, 
56.641287, 1705, 1815, 2967, 2064, 2919, 0.307914, 
57.329788, 1705, 1815, 2967, 2064, 2919, 0.298887, 
58.028501, 1705, 1815, 2967, 2064, 2919, 0.297597, 
58.916113, 1705, 1815, 2967, 2064, 2919, 0.296307, 
59.611179, 1705, 1815, 2967, 2064, 2919, 0.297597, 
60.757709, 1705, 1815, 2967, 2064, 2919, 0.293728, 
61.562176, 1705, 1815, 2967, 2064, 2919, 0.292439, 
62.458906, 1705, 1815, 2967, 2064, 2919, 0.291149, 
63.214872, 1705, 1815, 2967, 2064, 2919, 0.289860, 
